Controller,Type,Sets,Mode,
UA,Fixed,PitchWheel,Continuous,#Unneeded with standard pitchwheel/lever (message 14)
ModWheel,Fixed,ModWheel,Continuous,
Volume,Fixed,Volume,Continuous,
Sustain,Fixed,Sustain,Switch,
Drawbar1,Fixed,ReverbLvl,Continuous,
Drawbar2,Fixed,LFOspeed,Continuous,
Drawbar3,Fixed,VibrDepth,Continuous,
UA,Fixed,VibrSpeed,Continuous,#Can be set with LFOspeed
Drawbar4,Fixed,TremDepth,Continuous,
UA,Fixed,TremSpeed,Continuous,#Can be set with LFOspeed
Drawbar5,UA,,,
Drawbar6,UA,,,
Drawbar7,UA,,,
Drawbar8,UA,,,
Pot^1,Fixed,PitchSens,Continuous,
Pot^2,UA,,,
Pot^3,UA,,,
Pot^4,UA,,,
Pot_1,Fixed,ReverbRoom,Continuous,
Pot_2,Fixed,ReverbDamp,Continuous,
Pot_3,Fixed,ReverbWidth,Continuous,
Pot_4,UA,,,
Button1,Fixed,Reverb,Toggle,
Button2,Fixed,Rotate,Toggle,
Button3,Fixed,Vibrato,Toggle,
Button4,Fixed,Tremolo,Toggle,
Button5,UA,,,
Button6,UA,,,
Button7,UA,,,
Button8,UA,,,
Button9,Fixed,EffectsOff,SwitchOff,
Butt_<=>,BackTracks,1,Toggle,
Butt_<<,BackTracks,2,Toggle,
Butt_>>,BackTracks,3,Toggle,
Butt_[=],BackTracks,4,Toggle,
Butt_>,BackTracks,5,Toggle,
Butt_O!,Fixed,Panic,SwitchOff,
Pad_m1^1,Fixed,AutoChordOff,SwitchOff,
Pad_m1^2,Scales,C,SwitchOn,
Pad_m1^3,Scales,E,SwitchOn,
Pad_m1^4,Chords,Min,SwitchOn,
Pad_m1_1,Voices,1,SwitchOn,
Pad_m1_2,Voices,2,SwitchOn,
Pad_m1_3,Voices,3,SwitchOn,
Pad_m1_4,Voices,4,SwitchOn,
Pad_m2^1,UA,,,
Pad_m2^2,UA,,,
Pad_m2^3,UA,,,
Pad_m2^4,UA,,,
Pad_m2_1,UA,,,
Pad_m2_2,UA,,,
Pad_m2_3,UA,,,
Pad_m2_4,UA,,,
Pad_m3^1,UA,,,
Pad_m3^2,UA,,,
Pad_m3^3,UA,,,
Pad_m3^4,UA,,,
Pad_m3_1,UA,,,
Pad_m3_2,UA,,,
Pad_m3_3,UA,,,
Pad_m3_4,UA,,,
Pad_m4^1,UA,,,
Pad_m4^2,UA,,,
Pad_m4^3,UA,,,
Pad_m4^4,UA,,,
Pad_m4_1,UA,,,
Pad_m4_2,UA,,,
Pad_m4_3,UA,,,
Pad_m4_4,UA,,,
