Scale,C,C#,D,D#,E,F,D#,G,D#,A,A#,B
C,Maj,0,Min,0,Min,Maj,0,Maj,0,Min,Maj,Dim
Db,Dim,Maj,0,Min,0,Min,Maj,0,Maj,0,Min,Maj
D,Maj,Augm,Maj,0,Min,0,Min,Maj,0,Maj,0,Min
Eb,Min,Maj,Dim,Maj,0,Min,0,Min,Maj,0,Maj,0
E,0,Min,Maj,Augm,Maj,0,Min,0,Min,Maj,0,Maj
F,Maj,0,Min,Maj,Dim,Maj,0,Min,0,Min,Maj,0
F#,0,Maj,0,Min,Maj,Dim,Maj,0,Min,0,Min,Maj
G,Maj,0,Maj,0,Min,Maj,Augm,Maj,0,Min,0,Min
Ab,Min,Maj,0,Maj,0,Min,Maj,Dim,Maj,0,Min,0
A,0,Min,Maj,0,Maj,0,Min,Maj,Augm,Maj,0,Min
Bb,Min,0,Min,Maj,0,Maj,0,Min,Maj,Dim,Maj,0
B,0,Min,0,Min,Maj,0,Maj,0,Min,Maj,0,Maj
Cm,Min,0,Dim,Maj,0,Min,0,Min,Maj,0,Maj,0
C#m,0,Min,0,hDim7,Maj,0,Min,Min,0,Maj,0,Maj
Dm,Maj,0,Min,0,Dim,Maj,0,Min,0,Min,Maj,0
Ebm,0,Maj,0,Min,0,Dim,Maj,0,Min,0,Min,Maj
Em,Maj,0,Maj,0,Min,0,Augm,Maj,0,Min,0,Min
Fm,Min,Maj,0,Maj,0,Min,Min,Dim,Maj,0,Min,0
F#m,0,Min,Maj,0,Maj,0,Min,0,hDim7,Maj,0,Min
Gm,Min,0,Min,Maj,0,Maj,0,Min,0,Dim,Maj,0
G#m,0,Min,0,Min,Maj,0,Maj,0,Min,0,hDim7,Maj
Am,Maj,0,Min,0,Min,Maj,0,Maj,0,Min,0,Dim
Bbm,Dim,Maj,0,Min,0,Min,Maj,0,Maj,0,Min,0
#Bm,0,Augm,Maj,0,Min,0,Min,Maj,0,Maj,0,Min
