Controller,Type,Sets,Mode,#TAKE CARE: most keywords are case sensitive,
ModWheel,Fixed,WahPedal,Continuous,,
Volume,Fixed,Volume,Continuous,,
Sustain,Fixed,Sustain,Continuous,, so preferably use only one
Button1,Fixed,Reverb,Toggle,,
Drawbar1,Fixed,ReverbLvl,Continuous,,
Button2,Fixed,Moog,Toggle,,
Drawbar2,Fixed,MoogLvl,Continuous,,
Button3,Fixed,Rotate,Toggle,,
Drawbar3,Fixed,LFOspeed,Continuous,,
Button4,Fixed,Chorus,Toggle,,
Drawbar4,Fixed,ChorusDepth,Continuous,,
Button5,Fixed,ManualWah,Toggle,,
Drawbar5,Fixed,WahLvl,Continuous,,
Button6,Fixed,Echo,Toggle,,
Drawbar6,Fixed,DelayTime,Continuous,,
Button7,Fixed,Flanger,Toggle,,
Drawbar7,Fixed,DelayWet,Continuous,,
Button8,Fixed,ArpRndLin,Toggle,,
Drawbar8,Fixed,ArpTime,Continuous,,
Button9,Fixed,Arpeggiator,Toggle,,
Pot^1,Fixed,PitchSens,Continuous,,
Pot^2,Fixed,VibrDepth,Continuous,,
Pot^3,Fixed,ArpSustain,Continuous,,
Pot^4,Fixed,ArpFadeout,Continuous,#127 means no fade out =  repeat till toggled/set off,
Pot_1,Fixed,ReverbRoom,Continuous,,
Pot_2,Fixed,ReverbDamp,Continuous,,
Pot_3,Fixed,ReverbWidth,Continuous,,
Pot_4,Fixed,DelayFeedbackVol,Continuous,,
Butt_<=>,BackTracks,1,Toggle,,
Butt_<<,BackTracks,2,Toggle,,
Butt_>>,BackTracks,3,Toggle,,
Butt_[=],BackTracks,4,Toggle,,
Butt_>,BackTracks,5,Toggle,,
Butt_O!,Fixed,Panic,SwitchOff,,
Pad_m1^1,Fixed,AutoChordOff,SwitchOff,,
Pad_m1^2,Scales,C,SwitchOn,,
Pad_m1^3,Scales,E,SwitchOn,,
Pad_m1^4,Chords,Min,SwitchOn,,
Pad_m1_1,Voices,1,SwitchOn,,
Pad_m1_2,Voices,2,SwitchOn,,
Pad_m1_3,Voices,3,SwitchOn,,
Pad_m1_4,Voices,4,SwitchOn,,
Pad_m2^1,UA,,,,
Pad_m2^2,UA,,,,
Pad_m2^3,UA,,,,
Pad_m2^4,UA,,,,
Pad_m2_1,UA,,,,
Pad_m2_2,UA,,,,
Pad_m2_3,UA,,,,
Pad_m2_4,UA,,,,
Pad_m3^1,UA,,,,
Pad_m3^2,UA,,,,
Pad_m3^3,UA,,,,
Pad_m3^4,UA,,,,
Pad_m3_1,UA,,,,
Pad_m3_2,UA,,,,
Pad_m3_3,UA,,,,
Pad_m3_4,UA,,,,
Pad_m4^1,UA,,,,
Pad_m4^2,UA,,,,
Pad_m4^3,UA,,,,
Pad_m4^4,UA,,,,
Pad_m4_1,UA,,,,
Pad_m4_2,UA,,,,
Pad_m4_3,UA,,,,
Pad_m4_4,UA,,,,
