Key,Midinote,Optional drumpad midinote
# Key is case insensitive name of midi sensor you play,,
#------------------------------------,,
# Remapped drumpads,,Drumpadchannel notes are mapped to active channel
#------------------------------------,,
DP01,1,36
DP02,2,37
DP03,3,38
DP04,4,39
DP05,5,40
DP06,6,41
DP07,7,42
DP08,8,43
#------------------------------------,,
# SPD-8 Percussion pad (using the keyboard midichannel),,Keynames reflect Patches and Pads
#------------------------------------,,
P13p1,1,# Currently one (reprogrammed) patch in use for this
P13p2,3,
P13p3,5,
P13p4,7,
P13p5,2,
P13p6,4,
P13p7,6,
P13p8,8,
#------------------------------------,,
# Santoor snares,,Keynames reflect Positions and Bridges
#------------------------------------,,
p1b1,0,
p1b2,1,
p1b3,2,
p1b4,3,
p1b5,4,
p1b6,5,
p1b7,6,
p1b8,7,
p1b9,8,
p2b1,9,
p2b2,10,
p2b3,11,
p2b4,12,
p2b5,13,
p2b6,14,
p2b7,15,
p2b8,16,
p2b9,17,
p3b1,18,
p3b2,19,
p3b3,20,
p3b4,21,
p3b5,22,
p3b6,23,
p3b7,24,
p3b8,25,
p3b9,26,
#------------------------------------,,
# Piano keys,,Keynames are the respective standard notes
#------------------------------------,,
A0,21,# 88 keyboard
A#0,22,
B0,23,
C1,24,
C#1,25,
D1,26,
D#1,27,
E1,28,# 76 keyboard
F1,29,
F#1,30,
G1,31,
G#1,32,
A1,33,
A#1,34,
B1,35,
C2,36,# 61+49 keyboard
C#2,37,
D2,38,
D#2,39,
E2,40,
F2,41,
F#2,42,
G2,43,
G#2,44,
A2,45,
A#2,46,
B2,47,
C3,48,# 25 keyboard
C#3,49,
D3,50,
D#3,51,
E3,52,
F3,53,
F#3,54,
G3,55,
G#3,56,
A3,57,
A#3,58,
B3,59,
C4,60,
C#4,61,
D4,62,
D#4,63,
E4,64,
F4,65,
F#4,66,
G4,67,
G#4,68,
A4,69,
A#4,70,
B4,71,
C5,72,# 25 keyboard
C#5,73,
D5,74,
D#5,75,
E5,76,
F5,77,
F#5,78,
G5,79,
G#5,80,
A5,81,
A#5,82,
B5,83,
C6,84,# 49 keyboard
C#6,85,
D6,86,
D#6,87,
E6,88,
F6,89,
F#6,90,
G6,91,
G#6,92,
A6,93,
A#6,94,
B6,95,
C7,96,# 61 keyboard
C#7,97,
D7,98,
D#7,99,
E7,100,
F7,101,
F#7,102,
G7,103,# 76 keyboard
G#7,104,
A7,105,
A#7,106,
B7,107,
C8,108,# 88 keyboard
